"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";20947;1546;22077;794;5881;-;-;120;-;-;-;-;-;-;-;-;-;52522;-;-;-;40720;-;-;7;-;-;144614
"1995";25885;7083;30838;3234;47724;722;-;5;8;-;1;-;-;-;-;-;-;51245;8;-;51142;97514;-;-;13;11;577;316010
"1996";28328;6645;33001;5705;54351;7216;14689;218;1;44;1;9;136;46;5;3;-;51896;124;-;174420;90217;101;15;582;2286;44723;514762
"1997";11181;1699;8046;2208;7582;1364;6489;608;-;6;3;11;534;69;13;156;67;18645;759;-;87585;20286;167;65;169;1130;14496;183338
"1998";27498;3833;14327;5434;15856;4195;15365;4302;-;1692;412;393;2007;2944;484;30451;3793;54865;4309;16807;82431;66204;3721;299;2933;5163;34231;403949
"1999";28973;15530;44549;7151;97858;10590;26746;46637;8583;100287;22184;32459;132109;37220;28491;217373;246916;60099;178220;699282;195198;83100;191020;27745;39315;89187;47828;2714650
"2000";29354;9244;45870;11975;100042;12475;26810;86604;55833;165180;48777;63807;152321;56026;41313;211346;367589;57064;218276;667496;178676;91282;167478;39268;43424;85924;41670;3075124
"2001";30453;11618;51602;7409;114362;22829;26782;106159;56009;167478;47115;63846;143058;51061;36940;246493;299943;56243;209013;606430;169693;87108;150414;39192;44522;84854;42871;2973497
"2002";29065;13450;52633;7659;135118;12879;26177;113703;55381;158831;51962;64315;152687;63718;37597;224198;291121;56558;206727;584346;164215;84772;139827;38853;45087;85325;42212;2938416
"2003";27700;15118;55904;7963;139283;12771;26907;122543;53195;155983;51043;63535;154072;64258;37884;230256;272304;57743;202753;599744;156165;83763;136581;38327;46675;84923;41490;2938883
"2004";27239;13653;55355;7856;150399;12539;26214;121431;51940;149115;48487;61389;148829;58675;36141;220886;276808;55973;208445;592277;152709;82129;138326;37341;47762;83492;43407;2908817
"2005";28632;14188;62543;8504;155021;12906;27117;130666;54008;149067;49547;65152;150752;59476;33875;233983;281810;54095;215451;602192;155907;83612;137394;39712;50661;86834;43201;2986306
"2006";28436;14132;65254;8134;158154;13365;27570;135882;56275;140885;49084;64497;148713;57450;35012;228330;275548;53039;209958;585658;154836;83512;134740;40387;48952;91369;44034;2953206
"2007";26087;16460;67455;8476;155130;12969;26287;135267;54267;139845;46968;62927;149024;52210;37637;219788;268266;52122;203140;572003;148033;82778;128048;39240;49660;90902;42839;2887828
"2008";26839;15884;65253;8264;154556;13778;25049;129774;52236;136138;45530;60688;148541;51597;36133;212827;258861;50999;189767;571913;143718;80934;123174;38337;47954;87714;42565;2819023
"2009";27819;16457;71028;9596;148783;14401;26337;131014;52226;136150;47894;63134;149089;57272;36220;217179;261855;52568;201511;585002;147577;83958;124959;41321;50067;88793;43918;2886128
"2010";25747;15726;70130;8753;143543;12887;24294;123872;48739;130780;46096;58850;140043;53580;34597;205540;244257;51052;195513;572223;145876;82389;121568;38791;46794;85312;40084;2767036
"2011";26428;15809;68315;8990;137930;12649;24546;119917;49487;129085;47684;58986;146081;49829;35815;208854;247345;53492;205330;594053;150420;84462;125131;40252;48014;87792;37546;2814242
"2012";26796;15286;71077;8126;133148;12548;23285;120406;47504;125694;47447;57798;147026;51336;33883;200793;254090;52193;200597;583085;147780;82958;122982;40063;47788;89884;40618;2784191
"2013";28044;15094;65782;8251;132625;13969;26306;121365;47025;129699;43077;58765;146282;51872;34943;194537;270567;56960;212848;636915;159710;91515;141238;47736;50710;96732;47339;2929906
"2014";56185;16327;146247;17024;244991;25272;43582;213461;82568;235625;84295;105043;256011;93583;74971;359969;486024;100922;399078;1180214;270640;171112;245972;99703;106342;161398;95973;5372532
"2015";57092;25905;154797;18533;215839;28798;46842;212439;75832;256418;86622;103607;270972;97410;70050;366807;491019;105591;428635;1180276;300349;184336;246696;99314;107452;170777;73058;5475466
"2016";60385;29091;155650;19135;188584;30135;45901;185543;75218;285304;74824;99106;269858;93192;60749;316689;483950;111582;480849;1250297;288338;193649;262359;88519;110502;173158;131497;5564064
"2017";55484;26401;132159;22813;195206;24279;44469;190075;80688;253463;62786;96284;249619;89685;59940;313780;456697;93945;441830;1131175;271977;153489;232821;82105;98277;155910;89000;5104357
"2018";51137;25839;129848;24486;182128;24254;45704;189216;84800;263393;86857;108998;259163;95536;65219;307419;480008;104567;382948;1121912;253078;175382;232174;83823;100537;162038;86904;5127368
"2019";30577;17969;89242;14732;117311;15951;32318;105234;53794;146534;40794;62346;153627;58960;37356;185982;310481;58527;131869;652883;184861;116928;159345;54919;59923;100673;54891;3048027
"Total";842311;379987;1828982;261205;3331405;365741;685786;2846461;1195617;3556696;1129490;1475945;3670554;1347005;905268;5153639;6829319;1624507;5327958;15586183;4335334;2578109;3466236;1095327;1294122;2251581;1266972;74631740
&